incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-02-22,Eastern (Anglia),CCIL 2099306 ,"At 1842, a Network Rail Programme Manager advised of a late reported staff accident. A contractor working for Keltbray at Manor Park became trapped between two RRV vehicles at approximately 1600. An ambulance was called but was not used. The person was taken to hospital to have their injuries assessed. The worksite was closed down by Keltbray management, who were investigating the incident at the close of this Report.",Manor Park,51.55235651,0.04529243,E12 5EP
2020-02-22,Scotland,CCIL 2099258 ,"At 1948, the Yoker West signaller advised that 2E53, ScotRail, 1846 Airdrie – Balloch was at a stand at Singer station awaiting police attendance as a stabbing was reported to have taken place onboard the train. Paramedics treated the injured party on site (non-life threatening injuries). 2E53 terminated at Singer and ran as ECS to Yoker Depot, where BT Police (ref. 502) and Police Scotland attended at 2028 to examine the train. SOCO arrived at Yoker Depot at 2054.",Singer,55.90765879,-4.405482609,G81 2JQ
2020-02-22,North West and Central (North West),CCIL 2099361 ,"At 2219, a member of P’Way staff reported that they were removing spikes from the track with an extractor, which sprung up and struck them and broke their nose. The person was conveyed to hospital for treatment.",North West and Central (North West),,,
2020-02-22,Eastern (East Coast),CCIL 2099184 ,"At 1349, the driver of 2D36, Northern, 1226 Bishop Auckland – Saltburn, reported a near miss at Saltburn Riding School (UWC) level crossing with two persons on horseback. The riders crossed as the train approached and the driver applied the emergency brake. The driver was fit to continue. The BT Police were advised by email. The signaller confirmed that they had not received any requests to use the crossing. A Mobile Operations Manager attended and confirmed both phones were working correctly.",Saltburn Riding School ,54.584338,-0.997297,S12 1PW
2020-02-22,North West and Central (C),CCIL 2099024 ,"At 0733, 1G09, Chiltern, 0700 London Marylebone – Birmingham Snow Hill, formed by units 168110 & 168106, comprising seven coaches in all, overran Princes Risborough station by an unknown distance. The driver was not authorised to return to the station and was instructed to continue to Haddenham & Thame Parkway. The driver stated that the overrun was due to mis-judging the braking distance for a seven car unit. The driver was fit to continue to Birmingham Moor Street where they were relieved.",North West and Central (C),,,
2020-02-22,Southern (Kent),CCIL 2099145 ,"At 1212, 2R28, Southeastern, 1031 London Victoria – Dover Priory, formed by units 375907 & 375925, comprising eight coaches, overran Sandling station by ½ a coach length, with one set of doors affected not released. The driver stated that the overrun was due to poor adhesion. The driver was fit to continue. The next service reported no issues in stopping at the station. A Mobile Operations Manager was sent to site with drivers of subsequent services advised. At 1300 the Mobile Operations Manager reported that the rails on both lines were clean.",Southern (Kent),,,
2020-02-22,Eastern (Anglia),CCIL 2098921 ,"Fault No. 305813 / At 0256, P’Way staff reported that whilst carrying out a crossing inspection at Stowmarket station, they had discovered a rail defect on the Down Main line that would require an immediate 5mph ESR. Staff were sent from site to collect the ESR boards. Staff on site requested a Line Blockage of the Up Main line in order to provide protection to replace the rail and increase the ESR to 50mph, but this was not possible due to single line working in use due to repairs ongoing to another rail defect at Stowmarket. The ESR boards were erected by 0508. Significant delay was incurred by freight services through the area.",Stowmarket,52.18972565,1.000016541,IP14 1RQ
2020-02-22,Wales and Western (Western),CCIL 2099066 ,"Fault No. 461293 / At 0925, the Single line between Shelwick Junction and Ledbury was blocked after the driver of 1V22, West Midlands Trains, 0750 Birmingham New Street – Hereford reported a distorted rail. A Mobile Operations Manager and P’Way staff were sent to site. Services were terminated at Great Malvern. At 1005, the Mobile Operations Manager reported a visible kink in the rail at 144m18ch at the end of recent tamper work. Remedial work was undertaken by P’Way staff, with the line reopened at 1331 and a 20 mph ESR imposed. Further work was undertaken between trains with line speed restored at 1732.",Great Malvern,52.10920685,-2.318281662,WR14 3AL
2020-02-22,Wales and Western (Western),CCIL 2098964 ,"Fault No. 461303 / At 1321 P’Way staff reported that they had discovered a cracked weld on the Up Kemble line between Kemble and Swindon Junction. The line was blocked pending inspection by a Welding Supervisor. At 1351 authority was given for the line to be reopened with a 20mph ESR imposed after a Watchman was in place. At 1449 the Maintenance Engineer reported that the defect was to be classed as a Cat 1A defect requiring immediate clamping with repairs to be completed within 36/48 hours. A Mobile Operations Manager attended to act as the Rail Defect Nominee but was only able to open the line with a 5mph ESR imposed. Clamps were installed by 1632, allowing the ESR to be eased to 20mph. Services were cautioned until the warning boards were in place at 1742. Full rectification work is planned to take place overnight tonight (Sunday) within a booked possession.",Kemble,51.67627148,-2.0230964830000002,GL7 6AW
2020-02-22,North West and Central (NW),CCIL 2098933 ,"Fault No. 883082 / At 0614, the driver of 1F27, West Midlands Trains, 0548 Crewe Liverpool Lime Street, reported witnessing a flash from the OLE as the train approached DN103 signal on the Down Ditton line at Runcorn bridge. Crewe ECO advised that section PW6 had tripped at 0608 and reset at 0612. This was in the same area as the previous OLE dewirement on 20/02/20. A following service examined the line and reported that the return conductor was down and not safe to pass on the Down Ditton line. A block to services was placed between Crewe and Liverpool. The examining service 1B00, Transport for Wales, 0604 Chester – Liverpool Lime Street, was set back to Runcorn where it terminated and formed the return service to Chester. Up line services were unaffected and diesel services were authorised to Runcorn where they terminated. Avanti West Coast services were diverted via the Chat Moss lines or terminated at Warrington Bank Quay. A Mobile Operations Manager and OHL staff were mobilised to site and an isolation of the affected section was granted at 0732 by Crewe ECO once all electric traction services were clear of the limits. At 0910, following the passage of 1A17, Avanti West Coast, Liverpool Lime Streel – London Euston, a Line Blockage of the Up and Down Ditton lines was granted to undertake the rectification work. Initial estimates for the completion of work slipped when staff on site experienced equipment failure, but this was overcome and the Line Blockage and isolation were handed back at 1105, allowing normal signalling to resume.",Warrington Bank Quay,53.38553871,-2.602849785,WA1 1LW
2020-02-22,Scotland,CCIL 2099100 ,"Fault No. 350283 / At 1031, Cathcart ECO reported that OLE sections PC1, 2, 3 & 4 had tripped between Haymarket Central and East Junctions. Sections PC1, 2 & 3 reset at 1033, with two services in section. The drivers of 2M26, ScotRail, 0855 Milngavie – Edinburgh Waverley and 1P18, ScotRail, 0936 Stirling – Edinburgh Waverley were requested to lower their pantographs. Section PC4 was re-energised once the pantographs were lowered. The pantograph of 1P18 was raised and the service was authorised forward to Edinburgh Waverley 33 minutes late. Multiple services were trapped in rear (see section 07 of this report). A block to services from Glasgow Queen Street was put in place. When the driver of 2M26 attempted to raise their pantograph, section PC4 again tripped. The driver reported a loud bang when the pantograph was raised. The driver of 1R36, ScotRail, 0945 Glasgow Queen Street – Edinburgh Waverley, reported having issues resetting the train prior to raising their pantograph. These were overcome and the service was on the move at 1145. This cleared a route for other trapped services to be signalled via Haymarket Central Junction to Edinburgh Waverley. At 1217, the rear pantograph was raised on 2M26 without incident, allowing the service to proceed to Edinburgh Waverley. The unit was taken out of service and ran ECS to Yoker for maintenance attention. OHL staff reported no issues found during their examination of the OHL infrastructure.",Haymarket,55.945802,-3.2184445860000004,EH12 5EY
2020-02-22,Southern (Sussex),CCIL 2099146 ,"Fault No. 159531 / At 1212, detection was momentarily lost on No.1849 points at Brighton, causing T446 signal on platform 7 at Brighton to revert to danger. The signaller maintained the points in the Normal position but was unable set a route, preventing services to access the Down Main lines or to be routed towards Lewes. A Mobile Operations Manager and S&T staff were sent to site, with alternative routes being used. Initial investigations were undertaken by S&T staff with the points losing detection when moved to Reverse. The points were secured in the Normal position pending further investigations. A gap in the service was created to allow S&T staff 20 minutes access at 1620 to undertake further testing, with the points restored at 1640 after attention to the points motor.",Brighton,50.82895322,-0.141225193,BN1 3XP
2020-02-22,Eastern (East Coast),CCIL 2099168 ,"Fault No. 788712 / At 1313, the Shift Signalling Manager at Doncaster PSB reported No.2258 points had failed with no Normal or Reverse detection at Retford North Junction on the Down Main line to Up Main line crossover. 1N83, London North Eastern Railway, 1106 London King’s Cross – York was trapped in section. Other services were diverted via the Down Slow line. S&T staff and a Mobile Operations Manager were mobilised to site. At 1336, it was confirmed that the points had been secured in the Normal position with detection, allowing services to resume running, but that there was significant damage to the points gears and motor. P’Way and S&T staff were requested to attend, as voiding was apparent below the sleepers and was the likely cause of the broken motor and gearbox. Repairs were carried out in between trains and commenced at 1459. Further parts were sourced for renewals overnight.",Doncaster,53.521497100000005,-1.140234479,DN1 1PE
2020-02-22,Eastern (East Coast),CCIL 2099163 ,"Fault No. 788707 / At 1229, the signaller at Tweedmouth reported that Belford CCTV level crossing had failed between Belford Crossovers and Crag Mill Loop, holding one signal in each direction at red. Services were cautioned from T109 signal on the Down Main line and T112 signal on the Up Main line. S&T staff and a Mobile Operations Manager were mobilised to site. Staff were confirmed on site at 1340 and at 1425 they signed the crossing back in use, allowing normal signalling to resume. S&T staff advised that the failure was due to a microswitch which was associated with the defective boom. A replacement was sourced and late turn staff attended at 1615. Repairs were ongoing at the close of this Report.",Tweedmouth,55.761,-2.008,TD15 2BA
2020-02-22,North West and Central (North West),CCIL 2099296 ,"Fault No. 883137 / At 1759, the driver of 1S76, Avanti West Coast, 1430 London Euston – Glasgow Central, reported that CE492 signal on the Down Main line between Carlisle and Gretna Green, had reverted from green to red as the train approached. The driver was unable to stop and passed the signal at red by one train length. There was no apparent reason for the reversion with investigations ongoing at the close of this Report. The driver was fit to continue once the circumstance had been explained.",Carlisle,54.89064626,-2.933810228,CA1 1QZ
2020-02-22,North West and Central (WCMLS),CCIL 2098926 ,"At 0322, the driver of 4O22, Freightliner, 0123 Trafford Park Freightliner Terminal – Southampton Maritime, hauled by 66525, declared the locomotive a failure at Penkridge and would require assistance. 4M73, Freightliner, 2141 Felixstowe North Freightliner Terminal – Ditton was identified as the rescue locomotive to take 4O22 back to Basford Hall. A Mobile Operations Manager was dispatched to site to collect the driver from the failed train and convey them to Stafford to assist with the assisting locomotive. Services routed via Wolverhampton were diverted via WCML and Transport for Wales services via Shrewsbury. The Mobile Operations Manager and driver arrived at Stafford at 0459 and reported that the driver on 4M73 was out of hours and that the failed train driver would complete the move with the locomotive. A locomotive was dispatched from Basford Hall at 0516 to attach to 4M73 and take the train forward to destination. At 0609 it was advised that the assisting locomotive was attached to 4O22 and at 0619 the combined train was on the move allowing normal signalling to resume. The locomotive from Basford Hall was attached to 4M73 and on the move at 0707.",Penkridge,52.72351572,-2.119295161,ST19 5AN
2020-02-22,North West and Central (C),CCIL 2099116 ,"At 1110, 2Y06, West Midlands Trains, Crewe – London Euston formed by unit 350119, came to a stand at Marston Green station with a red transformer fault light. The driver sought advice from maintenance control. One service was trapped in section and this was authorised to set back to Lea Hall. The driver of 2Y06 declared the train a failure at 1132. Assistance was sought from 2H59, West Midlands Trains, London Euston – Rugeley Trent Valley that was terminated at Birmingham International. At 1202 the assisting unit was authorised into section and the combined train was on the move at 1249, allowing normal signalling to resume.",Birmingham International,52.45081461,-1.725863394,B40 1PA
2020-02-22,Eastern (North & East),CCIL 2099188 ,"At 1416, 1P72, TransPennine Express, 1207 Redcar Central – Manchester Airport, formed by unit 185118, came to a stand at Heaton Lodge Junction with a loss of power. One service was trapped in rear. 1P26, TransPennine Express, 1245 Newcastle Central – Manchester Airport, was identified to assist from the front. A Mobile Operations Manager was dispatched. 1P26 was reported at Heaton Lodge Junction at 1453 and was authorised to set back to 1P72, once 1P26 was clear of the points. Services were diverted via platform 3 at Mirfield. The trapped service 1F66, TransPennine Express, 1234 Scarborough – Liverpool Lime Street, was set back and diverted via Mirfield platform 3. Following initial problems with releasing the brakes, the combined train was on the move at 1546, allowing normal signalling to resume.",Heaton Lodge,53.68487,-1.732,WF14 0BS
2020-02-22,Scotland,CCIL 2096858 ,"Fault No. 349992 / With reference to the item in this section of yesterday’s Report concerning flooding at Mill O’Kier viaduct. The Watchman reported at 1000 that the water level was still above the red marker, the lines remained closed throughout the day with the structures engineer expected on site Sunday morning. An emergency timetable has been implemented for Sunday.",Mill,52.97186,-0.62985,G32 2NZ
2020-02-22,Scotland,CCIL 2091381 ,"Fault No. 349312 / With reference to the item in this section of yesterday’s Report concerning flooding in at Knightswood Tunnel. At 0353 the Track Section Manager reported that the water levels had receded significantly, allowing normal signalling to resume.",Scotland,,,
2020-02-22,Scotland,CCIL 2098830 ,"Fault No. 350235 / With reference to the item in this section of yesterday’s Report concerning high water levels at Bowling. P’Way staff were on site at 0310 and reported that the water levels had receded to allow trains to run at 5mph. By 0440 it was reported that the water level had receded sufficiently to allow normal signalling to resume, with the first train on each line to be cautioned through due to visible debris. At 0641 normal signalling was resumed after nothing was reported untoward.",Bowling,55.93106773,-4.493824427,G60 5AH
2020-02-22,Scotland,CCIL 2098693 ,"Fault No. 350218 / At 1856 (Fri), the watchman at Dalguise Viaduct reported that the water level had passed the yellow marker. The water level continued to rise through the evening until 2309 when the red mark was breached, resulting in a block to traffic over the Single line. No services were booked through the section overnight and at 0400 (Sat) the watchman reported that the water level was still above the red marker. This remained the case until 0926 when the water level fell below the mark.  Staff  were mobilised to undertake examinations and checks in readiness for the lines to reopen. This was completed at 1358 and the structures examiner authorised the Single line to be opened with a 20mph speed in place until the water level dropped below the yellow marker. Linespeed was reinstated at 1911.",Dalguise Viaduct,56.606,-3.6391,PH8 0JU
2020-02-22,Wales and Western (Wales),CCIL 2098895 ,"Following a flood warning at 0044 (Saturday), P’Way staff blocked the line at Black Bridge, between Talerddig and Machynlleth, as they could not see the flood markers. Transport for Wales advised at 0200 (Saturday) that they had cancelled all services up to 1300. P’Way reported at 0416 that the water level had risen by a further 12 inches. A further inspection was made at 1300 but, although the water levels had fallen below the closure mark, there was low confidence that levels wouldn’t rise again, therefore the route remained blocked pending a further inspection at 1700. Line speed was restored at 1748 after inspections had been completed.",Talerddig,52.5815,-3.5789,SY19 7AL
2020-02-22,Southern (Sussex),CCIL 2098953 ,"Fault No. 159527 / At 0517, the driver of 1N96, Govia Thameslink Railway, 0514 Brighton – Southampton Central, reported a land slip on the Down West Branch line on approach to Hove Tunnel. The driver was able to remove the debris from under the train and continue, reporting that the line was not passable, but the Up West Branch line was not affected. A Mobile Operations Manager and P’Way staff were sent to site. At 0613, the Mobile Operations Manager confirmed that the Down line was required to remain blocked due to the landslip. Service revisions were implemented with affected operators and ticket acceptance in place with local bus routes. An Earthworks Engineer was sent to site, arriving at 0844. At 0956 it was reported from site that the line must remain blocked until the unstable overhang of the embankment has been brought down and removed from site. Approximately three hours work was required for the stabilisation work, but difficulties were experienced in resourcing the required staff. The work was deferred until after the close of service.",Southern (Sussex),,,
2020-02-22,North West and Central (NW),CCIL 2098959 ,"Fault No. 883076 / At 0529, the Shift Signalling Manager at Preston PSB reported that track circuit no. 688 on the Up L&Y line at Summit Tunnel had failed holding PN328 signal at red. S&T staff were mobilised to site but were later stood down. The driver of 1K05, TransPennine Express, 0515 Manchester Piccadilly – Hull reported standing water at sleeper level within the tunnel on both the Down & Up L&Y lines. Services continued to be authorised passed PN328 signal at red throughout the day and at 1722 the driver of 1D72, Northern, 1542 Leeds – Chester, reported the water level on the Down L&Y line was below the railhead. Investigations were ongoing at the close of this Report.",Summit Tunnel,53.683889,-2.091944,OL14 6UQ
2020-02-22,Wales & Western (Western),CCIL 2099065 ,"Fault No. 461294 / At 0904, the driver of 1A10, Great Western Railway, 0657 Taunton – London Paddington, reported that the train had come to a stand on the Up Main line at Cholsey with multiple alarms activated on unit 800321. The driver checked under the train and discovered a severed AWS cable which had thrown up ballast and damaged windows on the train, with the train having possibly struck something. 1L64, Great Western Railway, 0649 Cheltenham Spa – London Paddington, had also sustained window damage. Staff were sent to the area to examine the line with services diverted to the Up Relief line where possible. Pieces of metal were found on the track in the vicinity of the AWS magnet for T824. The AWS magnet was tested and found to be in order with the pieces of metal found to be from a Location Cabinet Door. Following inspection and removal metal pieces, the Up Main line was restored to normal use at 1218.",Cholsey,51.57020166,-1.158018612,OX10 9QD
2020-02-22,Scotland,CCIL 2099300 ,"At 1701, Scottish Gas Networks (SGN) reported that a local resident had hit a gas pipe near the railway between Singer and Dalmuir. An SGN engineer was on site at 1840 and advised that a high volume gas leak had been identified, with emergency repairs required as soon as possible and a 10 metre exclusion zone, which incorporated the railway, to be put in place. A Mobile Operations Manager was on site at 1845 and appointed RIO. Trains were diverted away from the area via Yoker. OHL staff were on site at 1952 to switch the power off however, this was delayed due to an ongoing incident at Singer, see section 10. At 2119, the RIO confirmed that there were no restrictions to running diesel traction. A Line Blockage was taken from 2125 to 2206 for OHL staff to complete the isolation. A BTET was imposed and the RIO stood down at 2216. Repairs were ongoing at the close of this Report.",Singer,55.90765879,-4.405482609,G81 2JQ
2020-02-23,Eastern (North & East),CCIL 2099741 ,"Fault No. 788800 / At 1757, 4D71, GB Railfreight, 1534 Hexthorpe – Rylstone Tilcon, passed L3971 signal on the Down Shipley Main line at Shipley station at red by 15 metres. When questioned, the driver stated a loss of concentration (group 2 cause). After consultation with GB Railfreight, the driver was judged fit to continue and was met on arrival at Leeds, where the on-call Driver Manager took the train forward to destination.",Shipley,53.8331,-1.7734,BD18 2JL
2020-02-23,Wales and Western (Wales),CCIL 2099585 ,"Fault No. 461350 / At 0930, it was advised that an RRV working within WW WON 48, Item 221, due to be handed back at 0220 (Mon), had cut through a 650v cable at Tremains, no loss of signalling was reported. The Machine Controller employed by Ganymede left site shortly after without consent, and before investigations had started. A Level 1 investigation into the incident was commenced. At 1401, Ganymede advised that they had suspended the Machine Controllers Sentinel Card. Investigations were ongoing at the close of this Report.",Tremains,51.512392,-3.514625,F35 5BU
2020-02-23,Southern (Kent),CCIL 2099718 ,"Fault No. 464715 / At 1703, the Engineering Supervisor working within KS WON 48, Item 6, reported that an RRV had struck rail over road Bridge HHH/519 between Herne Hill and Tulse Hill. The Herne Hill Mobile Operations Manager and a Bridge Strike Engineer (BSE) were summoned to site. The Mobile Operations Manager advised at 1737 that there was a pillar at risk of falling into the car park below the structure. An Investigating Officer was appointed and decided that ‘for cause’ screening was not required. The BSE was on site at 1906, reporting that approximately one ton of unstable brickwork required removal from the structure. Remedial work was undertaken by 0006 to make the bridge safe and repair works have been planned.",Herne Hill,51.45320752,-0.10164087599999999,SE24 0JW
2020-02-23,Scotland,CCIL 2099459 ,"At 0305, it was reported that a member of P’Way staff at Barassie Yard had fallen onto their right hand after misplacing their footing whilst stepping down from the rear of their vehicle. The person was conveyed to hospital to have their injuries assessed.",Barassie,55.56104570000001,-4.651129008,KA10 6SA
2020-02-23,Eastern (East Coast),CCIL 2099711 ,"At 1655, the driver of 1H04, Rail Operations Group, London Kings Cross – Hull, reported that the train may have struck a person on the Down Main line at Penney’s (UWC) level crossing between Bawtry emergency crossover and Loversall Carr Jn. All lines were blocked, the driver reported at 1707 that following an examination of the train, they had found no evidence of an impact. BT Police (ref. 392) reported at 1714 that they were with an intoxicated person at the crossing who had received minor injuries after falling over. The RIO confirmed all BT Police were clear of the running lines and the intoxicated person was inside an ambulance, allowing all lines to open at 1727.",Bawtry,53.4278,-1.0167,DN10 6SU
2020-02-23,North West and Central (C),CCIL 2099815 ,"At 2306, 1G69, Chiltern, 2208 London Marylebone – Birmingham Snow Hill, formed by unit 168108, comprising three coaches in all, overran Bicester North station by one coach length, returning to the station with permission. The driver stated that the overrun was due to forgetting the booked stop. The driver was fit to continue.",North West and Central (C),,,
2020-02-23,Eastern (North & East),CCIL 2099607 ,"Fault No. 788776 / At 1109, the driver of 9M07, TransPennine Express, 0903 Newcastle Central – Liverpool Lime Street reported a track defect on the Up Huddersfield line between Thornhill LNW Junction and Mirfield East Junction. P’Way staff were mobilised to site. The implemented contingency plan resulted in a reduction in TransPennine Express services between Liverpool Lime Street and York. Staff arrived on site at 1322 and were granted a Line Blockage to undertake an inspection. At 1345 the Line Blockage was rescinded and the P’Way staff confirmed a dip in the track and that further Line Blockages were required. Services were cautioned until a suitable margin was found at 2028, when repair work was carried out to allow the site to be handed back with a 20 mph ESR.",Liverpool Lime Street,53.40731898,-2.977732837,L1 1JD
2020-02-23,Eastern (East Coast),CCIL 2099525 ,"Fault No. 788755 / At 0737, the Shift Signalling Manager at Leeds sub ROC advised that No.806 points at the North end of York station had failed with no Normal detection, resulting in no access to platforms 8 & 9. S&T staff arrived at 0805 and advised that a replacement micro switch was required. The S&T team returned with the replacement part and were granted a Line Blockage at 0913. At 1019 the Line Blockage was withdrawn with the points secured in the Normal position with detection. An additional 30-minute Line Blockage was required to complete the repair but there would be no access to or from platforms 9, 10 & 11 during the Line Blockage. A suitable margin was arranged by re-platforming services and the Line Blockage was granted at 1224 and given up at 1310, with additional repair work carried out until 1343, when normal signalling resumed. At 1414 it was reported that the points had again failed with no Normal detection. This resulted in Y304 signal on the Up Fast line reverting from green to red as 9M11, TransPennine Express, 1133 Edinburgh Waverley – Liverpool Lime Street approached. The driver was unable to stop and passed the signal at red. The driver was fit to continue. S&T staff arrived at 1513 and were granted a Line Blockage to rectify the fault. By 1539 the Line Blockage was rescinded, and normal signalling resumed. At 1548, detection of the points again failed, S&T staff reported there was a faulty clamp lock body that needed replacing. After returning to the depot for the part, a further Line Blockage was taken at 1714 and a new clamp lock body was fitted, allowing normal working to resume at 1735.",Leeds,53.79489697,-1.547435079,LS1 4DY
2020-02-23,Southern (Sussex),CCIL 2099666 ,"Fault No. 464701 / At 1459, the driver of 9A37, Arriva Rail London, 1413 Highbury & Islington – Crystal Palace, who had been cautioned for the failure of track circuits ‘MU’ & ‘MV’ which failed at 1350, reported a crack in the rail on the Down Sussex Slow line between Forest Hill and Sydenham. The following service was cautioned, with the driver advising that there was a track defect present, with a visible dip in the railhead. Following services were cautioned at 20 mph and London Bridge P’Way staff were summoned to site. Arriva Rail London services were terminated/started from Surrey Quays to ease congestion through the area. Normal signalling was authorised at 1640, after no defect was identified and the track circuits had gone clear. However, both track circuits were intermittently failing again from 1653. In response, services were cautioned from TL593 signal, with TL597 cleared on approach. S&T and P’Way staff advised at 1710 that there was no obvious defect with the Insulated Block Joint (IBJ), testing was continued by the night turn S&T team, which was ongoing at the close of this Report.",Forest Hill,51.43892535,-0.053310141,SE23 3HB
2020-02-23,North West and Central (NW),CCIL 2098959 ,"Fault No. 883076 / With reference to the item in this section of yesterday’s Report concerning high water levels in Summit Tunnel. At 0151 (Sun), as a result of the water levels dropping, Preston PSB Shift Signalling Manager advised that track circuit ‘688’ had gone clear, allowing normal signalling to resume.",North West and Central (NW),,,
2020-02-23,North West and Central (NW),CCIL 2099140 ,"Fault No. 883170 / At 0722, staff working between Sutton Weaver G/F and Weaver Junction reported floodwater above the railhead on both the Up and Down Ditton lines. Off Track and P’Way staff were mobilised to site, train crew route knowledge was confirmed for Avanti West Coast services departing Liverpool Lime Street for the diversion route via Chat Moss. At 0733, it was confirmed the water level was below rail height and 5P10, Avanti West Coast, 0813 Edge Hill – Preston, was utilised to examine the line and stated that the ballast had not been dislodged. The P’Way Section Manager (PWSM) imposed a 20 mph ESR on both the lines at 0846 and reported that the water was flowing over the top of an aqueduct and down the embankment. The PWSM advised that AMCO staff had been mobilised to site with pumping equipment. The pumps were installed, and by 1504 linespeed had been restored on the Up Ditton line. The PWSM observed a service through on the Down Ditton line at 50 mph with no issues, allowing normal signalling to resume at 1822. The pumps and AMCO staff remained on site overnight.",Sutton,51.018745,-2.567179,A22 7NY
2020-02-23,Wales and Western (Western),CCIL 2099704 ,"Fault No. 461380 / At 1620, the route proving train operating between Machynlleth and Shrewsbury identified an embankment washout/slip site at 36m 75ch, between Munllyn (UWC) and Fron Junction. Mobile Operations Manager, P’Way and Earthworks Engineer attended site and reported at 1933 that the line should remain blocked due to the proximity of the embankment slip to the running line. The line is likely to remain blocked until Tuesday 25th February whilst rectification works are completed, with a daylight inspection planned for 0830 Monday 24th February.",Machynlleth,52.5951531,-3.854549885,SY20 8BL
2020-02-23,Scotland,CCIL 2099300 ,"With reference to the item in this section of yesterday’s Report concerning the gas leak near the railway between Singer and Dalmuir: Numerous attempts were made to reduce the gas pressure so that engineers could begin repair, however, difficulties were experienced with the valves as one of them was seized. By 1902 staff had managed to release both of the valves to begin reducing the gas pressure. The leak was repaired by 2211. By 2240 all testing had been completed, the OLE energised at 2311, allowing normal signalling to resume.",Singer,55.90765879,-4.405482609,G81 2JQ
2020-02-25,Eastern (East Coast),CCIL 2100354 ,"Fault No. 788962 / At 1924, it was reported that after 4R55, Freightliner Cargo 1831 Drax Power station – Immingham Biomass LP, passed protecting signal D894, the exit barriers of Selby Road LC raised of their own accord. entry barriers remained in the lowered position. Faults with the level crossing barriers had been reported since Monday 24th February. In response to the most recent report, the crossing was placed under local control until testing could be completed, the results of which were unavailable at the close of this Report.",Eastern (East Coast),,,
2020-02-25,Scotland,CCIL 2100463 ,"At 0153 (Tue), the Shift Signalling Manager at Motherwell reported a Line Blockage irregularity of the Up and Down West Coast Main line between Beattock North and Elvan Water Viaduct whereby a train was signalled into the Line blockage. The limits of the Line blockage were of the Down line between CMC719 to GMC709 and the Up Main line between GMC612 and GMC718 signals. There were no staff on track when the irregularity took place. P’Way reported at 0210 that staff on site had been withdrawn on welfare grounds. It was determined that the signaller misunderstood the Line Blockage limits. The voice communications were downloaded and were found not to be of the required standard. ‘For cause’ screening was deemed unnecessary in this instance.",Motherwell,55.79166603,-3.994311557,ML1 1BL
2020-02-25,Southern (Kent),CCIL 2100493 ,"Fault No. 464822 / At 0418, it was reported that 6J06, Balfour Beatty Rail Plant, 0455 Bickley Junction – Hither Green PAD had run through VS872 points at St Mary Cray Junction whilst exiting KS WON 48, item 9, Shortlands Junction – St Mary Cray Junction, Up and Down Chatham Slow lines blocked 0030 (Tue) – 0525 (Tue), a Kent IMDM managed possession. Investigations revealed that the points had been run through in the Normal position; the signaller realised the points had not been set to the correct position but was unable to advise the driver before the run-through occurred. The signaller was relieved of duty for interview and ‘for cause’ screening. S&T staff arrived on site at 0458 and reported at 0542 that there was significant damage to the point-work; the asset was consequently signed out of use. Owing to the run-through, trains booked on the Down Chatham Slow line were required to run on the Down Chatham Fast line from Bickley Junction to Swanley. A line blockage and isolation were in place by 1130 to allow repairs to commence. At 1453 it was reported that after the gear box had been removed it was found that the damage was worse than expected with both the left and right hand switches damaged, and a replacement half-set of switches would need to be ordered. Work continued to restore Normal detection, which was obtained at 1638, with the points secured. The line was reopened at 1719, after all personnel and equipment had been cleared. The points remain secured at start of service, Wednesday 26th  February, with some Southeastern schedules amended in response.",St Mary Cray,51.39477941,0.107257724,BR5 2PQ
2020-02-25,Eastern (EM),CCIL 2100635 ,"Fault No. 154567 / At 0948 the driver of 1D13, East Midlands Railway, 0834 London St. Pancras – Nottingham reported lateral and vertical movement on the Down Main line near Great Glenn old station, between Market Harborough and Leicester. P’Way staff were advised at 0952. At 1017, 1F15, East Midlands Railway, 0902, London St. Pancras – Sheffield, reported a movement in the same area. P’Way staff and the Mobile Operations Manager arrived on site from 1032, with the latter confirming that they had keyed signal LR241 signal to red at 1100. A member of P’Way staff stated at 1102 that they were awaiting a line blockage to carry out an inspection but were confident that the site would require lifting and packing, after which a 50mph ESR would be imposed. At 1136 a member of P’Way staff advised the lifting and packing work had been completed – a call was made at 1153 from a member of P’Way staff to a trainee signaller at Kettering, reportedly stating that all boards were in place and that the signaller could work normally, with drivers taking advice from the boards however at 1203, a maintenance technician called the signaller to report that the last train had gone through at line speed, when it should have been restricted to 50mph. At 1204 a member of P’Way staff stated that only the site boards were in place and that the warning boards and EROS still needed to be erected. The signaller then started cautioning trains at 50mph from signal LR225. Investigations – including voice comm practices – were ongoing at the close of this Report.",Market Harborough,52.48040756,-0.908871723,LE16 7DT
2020-02-25,Eastern (Anglia),CCIL 2100414 ,"At 1317 a member of the Network Rail Route Health and Safety team working from Stratford Place reported unsafe working and a near miss with a group of P’Way staff working within a line blockage of platform 11 at Stratford Station. The near miss occurred at approximately 1153, when staff were working on an IBJ in platform 11. A member of P’Way staff put their leg over the 6ft rail as a train was approaching into platform",Stratford,51.54169258,-0.0037516409999999996,E15 1AZ
